9,17,22,29,34,4,11
3,7,13,26,32,3,8
17,23,23,30,34,2,9
9,10,17,17,24,1,3
4,8,17,28,31,1,11
1,4,15,15,27,6,10
5,14,13,19,28,11,12
5,8,16,20,30,5,10
1,8,33,35,33,1,12
4,12,16,27,34,4,11
5,27,26,34,35,6,12
1,8,25,35,35,8,12
3,5,10,28,35,4,9
17,22,26,32,33,1,5
4,13,9,13,23,9,12
4,7,12,20,30,1,9
18,28,33,35,35,11,11
4,20,27,31,34,2,7
4,10,12,24,31,2,12
1,16,30,35,35,3,12
2,21,23,34,35,9,12
2,6,17,32,35,5,8
2,11,12,23,31,7,10
8,8,14,17,24,1,5
6,17,30,33,35,1,12
1,9,8,14,33,7,12
1,4,6,11,16,5,12
16,17,21,22,32,5,9
6,14,33,34,34,1,2
4,16,17,21,32,8,12
6,19,13,20,30,9,12
3,6,23,32,35,4,4
2,4,31,34,33,1,7
5,22,23,32,34,3,6
6,13,10,22,32,2,11
4,21,32,34,35,1,7
8,12,27,31,35,5,10
4,14,22,22,30,4,8
7,11,15,29,34,7,9
11,16,24,20,30,2,2
14,29,31,35,35,6,12
3,4,8,17,26,4,12
5,16,25,19,30,5,5
6,10,15,27,30,6,12
11,16,17,29,32,6,12
7,20,28,33,35,1,4
20,22,24,31,34,2,9
1,12,19,34,33,8,12
3,8,12,14,26,6,10
6,7,18,19,30,8,9
6,10,15,15,30,2,6
6,8,19,16,27,7,10
8,16,22,19,29,2,5
12,22,26,34,35,6,10
1,14,27,35,35,3,11
5,8,28,33,35,4,7
9,17,21,30,35,5,10
7,13,25,23,32,1,2
9,12,17,27,33,3,10
14,18,15,19,28,1,6
1,24,33,34,34,3,12
4,11,21,21,32,2,8
3,7,16,23,31,1,2
6,8,24,29,28,1,8
5,15,19,25,34,8,12
1,9,26,18,34,4,5
1,5,9,22,35,11,12
2,11,11,18,32,10,12
6,11,18,20,30,8,10
4,15,16,27,35,11,12
5,10,10,15,26,6,12
3,13,18,31,32,1,3
14,20,27,31,35,7,12
1,4,16,18,30,5,11
8,10,8,13,23,5,5
6,9,11,15,24,5,6
4,14,22,30,34,10,12
13,24,29,29,35,7,9
7,20,26,35,35,8,12
5,14,24,31,32,1,9
5,16,24,22,32,4,10
7,25,30,34,34,1,11
19,22,30,32,34,5,7
5,15,9,23,30,4,8
3,23,27,32,34,1,3
3,13,25,32,32,2,11
1,14,23,31,35,1,8
5,16,23,31,33,2,12
1,6,11,23,34,6,12
2,8,8,11,22,6,12
3,6,11,15,21,1,10
4,25,26,33,32,5,12
5,7,16,20,29,3,5
10,13,13,24,27,6,10
1,4,13,16,28,5,8
3,11,17,18,30,3,10
1,7,26,34,31,1,12
14,17,25,32,35,3,11
5,8,20,22,26,1,9
1,5,17,15,29,7,9
3,7,7,16,30,6,9
5,14,19,24,33,5,10
8,16,10,22,32,4,12
6,16,16,33,35,8,12
3,17,16,32,35,3,11
7,6,15,20,29,1,5
7,9,10,12,22,2,5
22,27,34,35,35,1,6
7,11,21,25,33,6,9
2,30,34,35,35,6,12
11,21,20,33,35,4,7
1,12,27,31,34,6,10
8,13,13,17,27,8,12
1,18,19,34,35,10,12
5,11,18,26,34,2,11
3,13,25,23,33,5,6
1,9,13,12,22,4,10
12,15,22,25,34,6,9
2,7,16,29,33,2,12
4,11,11,11,17,6,11
3,12,17,24,33,5,10
5,14,20,31,35,7,12
4,11,20,28,27,2,12
1,5,22,28,34,5,7
20,21,29,32,35,5,8
6,5,12,31,35,5,8
2,7,23,35,35,3,9
8,14,21,33,35,7,11
1,3,8,14,22,1,6
4,16,16,20,28,5,12
1,4,13,33,35,6,8
10,13,16,24,33,5,12
5,17,14,26,34,7,12
9,12,16,24,29,7,12
8,15,22,27,33,1,10
6,9,18,28,33,1,7
16,22,33,34,35,6,10
3,11,12,27,34,1,6
6,12,15,24,34,4,9
1,18,24,34,35,10,12
4,8,14,21,31,2,5
13,12,16,17,25,1,4
3,13,15,28,33,4,12
1,11,10,34,35,12,12
3,10,18,20,28,9,12
1,4,9,8,18,3,8
8,15,29,31,33,1,5
6,14,22,28,34,3,12
12,15,17,23,32,3,11
1,7,12,33,35,1,4
1,6,19,33,34,6,12
2,4,11,12,31,3,5
1,9,24,27,33,5,7
5,13,20,29,32,8,12
15,20,26,26,35,2,9
3,24,22,28,34,5,12
8,14,18,24,33,6,11
4,11,17,18,29,11,12
3,10,19,29,32,1,12
7,10,11,19,26,1,8
4,12,20,25,34,6,8
1,5,19,20,33,7,9
1,13,21,33,35,11,12
1,13,27,34,34,3,12
3,10,12,19,27,6,11
9,12,23,31,35,1,5
3,10,14,25,34,9,10
2,13,19,27,31,1,11
18,19,26,32,35,5,10
1,22,23,35,35,3,12
1,7,14,11,22,1,6
7,13,16,22,31,1,5
1,8,17,21,31,4,6
26,21,21,25,31,4,5
4,19,28,32,35,2,12
4,10,12,24,30,3,12
15,17,18,28,34,4,9
7,15,17,17,27,8,11
4,12,9,27,34,10,11
7,12,14,19,27,5,11
9,23,28,33,35,1,4
1,9,12,16,25,11,12
2,6,5,6,11,5,11
20,19,24,23,32,2,3
3,9,14,15,29,7,11
2,6,13,13,21,5,9
12,18,24,23,33,3,6
5,7,10,17,23,3,8
8,11,18,23,29,1,4
16,23,28,28,35,5,12
9,13,22,30,34,2,11
3,12,15,25,33,10,12
3,8,20,23,31,2,4
1,9,15,25,34,12,12
2,8,12,27,34,5,11
1,8,11,27,35,10,12
1,4,17,27,35,11,12
2,20,30,34,35,2,9
1,3,15,24,32,1,3
20,22,22,23,32,11,12
19,20,25,31,35,6,9
13,15,23,28,34,2,11
2,11,10,22,33,10,12
1,4,11,24,33,3,5
7,13,18,25,33,7,12
4,16,25,23,32,2,4
4,12,22,29,33,1,8
1,9,16,20,33,9,12
2,22,17,35,35,10,10
12,13,22,26,33,2,5
14,10,17,22,30,2,6
1,7,10,30,35,11,12
1,6,10,14,28,11,12
3,7,13,24,26,4,12
3,9,22,26,34,8,9
8,15,25,33,35,1,7
3,10,15,21,31,1,10
6,9,12,16,21,2,9
1,4,22,32,35,5,6
4,9,12,21,28,5,12
14,19,21,31,35,7,11
9,15,18,30,34,10,10
30,29,31,31,35,11,12
6,18,17,30,35,10,12
7,17,15,32,34,7,11
7,19,13,21,32,6,10
2,9,18,30,35,7,9
7,23,25,23,34,7,10
5,13,13,31,35,4,8
3,5,12,16,24,2,6
7,26,22,33,35,4,9
1,3,8,10,19,7,10
13,17,23,23,34,1,6
3,8,17,14,22,5,6
8,13,16,19,26,2,7
15,17,24,31,31,2,10
2,8,11,22,34,8,11
9,18,25,30,31,1,5
17,25,22,29,34,7,12
3,11,20,26,31,4,7
14,16,22,30,35,2,8
1,6,6,20,35,10,12
8,14,19,31,35,6,10
8,11,9,15,21,2,6
19,19,28,31,34,3,6
4,23,33,35,35,1,7
8,19,25,31,33,4,12
2,11,18,34,35,5,9
1,6,17,15,28,4,10
2,11,23,23,33,2,6
4,13,22,33,35,7,11
2,5,7,14,30,9,10
13,15,19,25,30,3,7
1,6,19,22,33,9,9
6,9,12,23,32,1,3
12,14,17,19,27,3,10
5,10,11,18,28,7,12
5,8,10,18,29,5,9
1,21,33,35,34,1,7
12,24,29,35,35,3,11
1,19,33,35,35,1,5
1,28,33,35,35,1,11
3,5,13,30,35,4,10
11,13,23,33,35,3,10
5,8,15,23,31,2,11
3,10,11,20,32,8,7
1,13,28,34,35,1,7
13,16,29,31,34,1,7
5,8,11,15,29,4,11
1,7,9,26,35,3,10
20,22,25,29,35,3,11
1,14,16,30,34,4,12
13,19,30,28,34,2,3
2,11,17,15,25,2,8
7,16,15,24,32,2,8
3,12,31,34,35,6,8
8,9,14,18,31,1,3
1,6,18,18,30,8,10
1,4,15,14,31,4,8
4,9,11,21,33,8,10
12,20,30,34,35,2,11
5,11,15,21,30,4,9
2,19,28,34,34,1,2
1,10,27,35,35,7,12
9,12,14,18,27,2,7
7,10,12,23,33,6,12
1,9,12,28,32,6,12
6,24,31,34,35,2,12
9,11,23,32,34,2,5
2,19,27,33,34,4,12
1,7,16,13,24,5,9
14,12,17,21,31,4,11
4,14,17,30,34,2,8
4,8,16,22,30,2,6
2,10,14,24,34,10,12
2,14,22,33,35,5,12
15,21,27,32,35,2,6
6,13,17,29,34,3,9
9,9,12,11,26,3,7
7,10,13,16,28,7,10
1,6,17,24,33,9,12
3,8,13,19,28,4,11
1,11,29,34,35,8,12
8,11,15,21,32,5,10
7,28,27,35,35,11,12
2,13,17,12,26,10,11
12,15,21,29,34,5,8
5,14,15,23,32,10,12
9,12,17,21,29,6,12
5,16,23,27,34,10,12
4,9,19,29,29,5,12
11,9,13,19,29,8,11
18,16,14,29,34,3,5
1,3,6,10,35,9,12
24,25,24,27,35,3,11
12,18,20,28,27,2,10
14,14,27,33,35,3,7
1,3,8,11,22,1,5
23,19,25,26,34,1,7
6,10,21,30,33,1,7
2,14,23,32,35,1,12
7,7,12,17,24,2,6
18,22,24,27,34,1,10
3,9,10,20,22,5,12
3,9,12,24,34,3,12
4,8,7,19,25,3,12
5,20,19,29,34,9,12
14,24,30,33,35,1,8
4,11,13,23,34,11,12
1,7,12,21,35,7,12
10,18,26,29,32,1,1
3,9,14,12,22,5,5
6,10,11,20,31,1,8
1,16,25,34,34,3,9
12,31,32,35,35,2,9
3,16,25,33,35,4,12
4,7,11,16,24,2,6
19,21,30,33,35,5,11
8,16,20,30,34,2,11
1,5,14,16,19,1,5
2,4,9,11,21,4,8
1,9,20,15,28,3,5
1,4,20,24,30,1,3
9,11,12,17,26,4,7
14,22,29,29,35,4,8
1,2,11,33,35,2,7
22,25,22,26,34,6,12
6,9,20,29,35,6,7
13,23,31,32,34,3,10
9,11,23,29,34,1,3
1,12,10,24,34,10,12
8,20,24,27,34,5,8
6,16,30,34,35,1,11
6,6,8,12,22,2,10
10,20,26,32,35,2,9
19,23,28,31,35,8,11
2,9,16,16,24,2,7
13,27,30,31,35,7,12
6,15,21,33,35,4,12
3,6,15,25,32,1,7
5,10,8,17,29,6,11
10,17,13,23,33,9,12
1,11,19,33,35,1,11
5,11,9,22,34,5,8
2,29,34,35,35,1,10
1,16,22,34,35,1,4
8,14,18,27,33,8,12
2,11,15,28,34,3,11
5,10,22,26,32,8,7
9,9,21,30,34,6,9
6,12,13,24,31,2,12
12,11,19,25,29,1,8
3,4,28,32,28,1,4
20,27,31,34,35,2,9
3,13,16,15,26,5,8
2,17,24,35,35,2,6
3,8,14,18,32,5,7
5,12,21,25,33,4,7
5,9,10,19,31,7,9
4,6,11,20,31,7,11
5,5,11,13,27,2,6
1,9,29,34,35,7,12
1,18,30,35,35,3,12
17,24,22,27,33,1,3
3,27,31,35,35,7,12
1,8,15,14,24,4,10
1,27,34,35,35,1,10
10,21,24,26,34,4,12
9,12,9,15,24,7,11
5,8,10,19,32,2,3
13,18,24,33,35,2,5
1,4,6,25,34,2,5
11,14,18,28,33,3,7
1,3,12,13,30,5,4
12,14,15,24,30,1,8
1,5,14,13,26,2,7
3,6,15,22,29,1,11
5,7,20,27,34,1,8
1,2,7,9,20,3,10
1,16,25,16,31,2,9
5,13,13,20,27,10,12
5,12,15,16,27,4,10
13,12,14,25,30,2,3
3,5,10,14,23,2,8
2,13,22,34,35,2,11
5,15,24,21,33,6,8
2,6,14,14,24,1,3
5,8,10,17,25,6,12
14,15,21,25,33,2,9
2,5,9,18,31,8,10
6,15,17,22,34,7,12
7,6,13,17,29,1,10
3,14,26,33,34,2,12
2,19,23,33,35,11,12
1,5,6,16,32,4,9
2,17,14,35,35,11,12
3,11,11,15,21,4,11
1,24,21,32,35,4,12
3,5,9,8,16,8,8
17,26,30,22,34,8,10
1,12,24,30,31,4,12
2,9,23,24,32,2,6
8,10,15,17,25,1,4
4,12,13,23,31,5,12
5,5,13,20,31,3,6
3,18,14,33,34,1,3
2,4,12,21,32,1,4
9,19,29,35,35,10,12
5,9,18,31,34,2,6
5,18,23,31,35,8,12
15,19,23,25,34,6,11
4,7,14,15,22,2,7
3,11,19,26,33,8,9
6,10,10,12,18,4,9
4,21,28,34,33,1,8
2,11,14,15,32,7,12
2,9,12,14,25,7,12
2,7,17,18,30,3,6
2,16,24,32,34,2,11
9,11,25,28,33,4,5
2,6,7,23,35,8,8
5,10,17,27,33,1,11
1,4,6,18,33,5,10
2,8,10,23,32,5,11
12,13,19,26,31,1,3
3,11,9,19,32,9,12
7,26,33,35,35,2,12
3,7,18,29,33,1,10
10,9,22,30,34,5,6
2,7,12,28,35,1,4
1,7,14,13,24,4,9
3,8,18,31,34,1,6
5,16,22,26,34,10,12
1,7,10,16,22,9,12
2,9,24,23,33,6,12
17,24,26,32,35,3,6
5,9,17,24,30,1,10
9,17,21,24,33,2,11
1,27,35,35,35,8,12
7,9,19,31,35,5,9
